ZIP_Code,Restaurant_Name,Rating,Review_Count,Price_Level,Latitude,Longitude,Category,Neighborhood,Address
90014,Poppy + Rose,4.3,1294,2.0,34.040681,-118.25008,Food,Downtown LA,"765 Wall St, Los Angeles, CA 90014, USA"
90013,Maccheroni Republic,4.6,2924,2.0,34.050031,-118.248536,Food,Downtown LA,"332 S Broadway, Los Angeles, CA 90013, USA"
90013,Girl & the Goat Los Angeles,4.8,2947,3.0,34.040226,-118.233169,Food,Downtown LA,"555-3 Mateo St, Los Angeles, CA 90013, USA"
90012,BADMAASH Downtown LA,4.1,1728,2.0,34.051103,-118.244857,Food,Downtown LA,"108 W 2nd St APT 104, Los Angeles, CA 90012, USA"
90071,Settecento DTLA,4.5,183,,34.051039,-118.255758,Food,Downtown LA,"700 W 5th St, Los Angeles, CA 90071, USA"
90013,Le Petit Paris,4.3,1008,3.0,34.048343,-118.248527,Night Club,Downtown LA,"418 S Spring St, Los Angeles, CA 90013, USA"
90015,Fixins Soul Kitchen,4.6,3174,2.0,34.04446,-118.264728,Food,Downtown LA,"800 W Olympic Blvd A150, Los Angeles, CA 90015, USA"
90012,Redbird,4.6,1711,3.0,34.050562,-118.244075,Food,Downtown LA,"114 E 2nd St, Los Angeles, CA 90012, USA"
90017,District,4.3,529,2.0,34.048015,-118.258385,Bar,Downtown LA,"Plaza Level in The Bloc, 700 W 7th St, Los Angeles, CA 90017, USA"
90017,Le Grand Restaurant,4.0,802,2.0,34.047184,-118.25701,Food,Downtown LA,"707 S Grand Ave, Los Angeles, CA 90017, USA"
90013,The Factory Kitchen,4.5,1015,3.0,34.038983,-118.235878,Food,Downtown LA,"1300 Factory Pl, Los Angeles, CA 90013, USA"
90021,Bestia,4.6,3798,3.0,34.03368,-118.229236,Food,Downtown LA,"2121 E 7th Pl, Los Angeles, CA 90021, USA"
90071,Drago Centro,4.5,753,3.0,34.051234,-118.257327,Bar,Downtown LA,"525 Flower St, Los Angeles, CA 90071, USA"
91101,Nick's Pasadena,4.7,1425,2.0,34.140058,-118.131966,Food,Pasadena,"336 S Lake Ave, Pasadena, CA 91101, USA"
91105,Houston's,4.5,3080,3.0,34.140236,-118.14712,Food,Pasadena,"320 S Arroyo Pkwy, Pasadena, CA 91105, USA"
91101,GRANVILLE,4.5,1475,2.0,34.141141,-118.132063,Food,Pasadena,"270 S Lake Ave, Pasadena, CA 91101, USA"
91101,Yard House,4.4,2639,2.0,34.1456,-118.14364,Bar And Grill,Pasadena,"300 E Colorado Blvd Ste 220, Pasadena, CA 91101, USA"
91105,The Raymond 1886 - Modern American Cuisine & Craft Cocktails in Pasadena,4.5,1059,3.0,34.124494,-118.149969,Food,Pasadena,"1250 S Fair Oaks Ave, Pasadena, CA 91105, USA"
91105,Gale's,4.5,943,2.0,34.137778,-118.150278,Food,Pasadena,"452 S Fair Oaks Ave, Pasadena, CA 91105, USA"
91105,Craft by Smoke and Fire,4.1,849,2.0,34.144395,-118.151238,Food,Pasadena,"30 W Green St, Pasadena, CA 91105, USA"
91105,Mi Piace,4.2,1903,2.0,34.145955,-118.149939,Bakery,Pasadena,"25 E Colorado Blvd, Pasadena, CA 91105, USA"
91107,Plate 38 Kitchen And Bar,4.3,998,2.0,34.146331,-118.101381,Food,Pasadena,"2361 E Colorado Blvd, Pasadena, CA 91107, USA"
91105,Agnes Restaurant & Cheesery,4.4,468,2.0,34.144297,-118.151331,Liquor Store,Pasadena,"40 W Green St, Pasadena, CA 91105, USA"
91105,True Food Kitchen,4.5,2043,2.0,34.145486,-118.153881,Meal Takeaway,Pasadena,"168 W Colorado Blvd, Pasadena, CA 91105, USA"
91101,The Arbour,4.7,528,3.0,34.136664,-118.132662,Bar,Pasadena,"527 S Lake Ave #120, Pasadena, CA 91101, USA"
91101,UOVO | Pasadena,4.4,311,,34.143072,-118.131927,Food,Pasadena,"146 S Lake Ave #103, Pasadena, CA 91101, USA"
91101,Urban Plates,4.5,1698,2.0,34.141343,-118.132552,Sandwich Shop,Pasadena,"269 S Lake Ave, Pasadena, CA 91101, USA"
91101,Gaucho Grill Pasadena,4.3,602,3.0,34.138225,-118.132675,Steak House,Pasadena,"455 S Lake Ave Suite 102, Pasadena, CA 91101, USA"
91101,Green Street Restaurant,4.5,1142,2.0,34.143112,-118.131386,Bar And Grill,Pasadena,"146 Shoppers Ln, Pasadena, CA 91101, USA"
91103,Holy Saints!,4.7,42,2.0,34.147832,-118.149947,Food,Pasadena,"21 E Holly St, Pasadena, CA 91103, USA"
91103,Cafe Santorini,4.4,1058,2.0,34.146638,-118.151921,Food,Pasadena,"64 W Union St, Pasadena, CA 91103, USA"
91103,Union Restaurant,4.5,800,3.0,34.146998,-118.149638,Food,Pasadena,"37 Union St, Pasadena, CA 91103, USA"
91105,Buca di Beppo Italian Restaurant,4.4,3254,2.0,34.1443,-118.15218,Food,Pasadena,"80 W Green St, Pasadena, CA 91105, USA"
90232,CULVER&MAIN,4.9,72,,34.024767,-118.394813,Food,Culver City,"3829 Main St, Culver City, CA 90232, USA"
90232,Destroyer,4.5,1298,2.0,34.024642,-118.381324,Cafe,Culver City,"3578 Hayden Ave, Culver City, CA 90232, USA"
90232,Laurel Grill,4.5,135,,34.024345,-118.393618,Food,Culver City,"9300 Culver Blvd suite 210, Culver City, CA 90232, USA"
90232,Citizen Public Market,4.6,379,2.0,34.025066,-118.394116,Food Court,Culver City,"9355 Culver Blvd, Culver City, CA 90232, USA"
90232,JULIET,4.2,195,,34.026628,-118.388799,Event Venue,Culver City,"8888 Washington Blvd Suite 102, Culver City, CA 90232, USA"
90232,Bacari Culver City,4.5,81,,34.024733,-118.394711,Food,Culver City,"3833 Main St, Culver City, CA 90232, USA"
90230,Maple Block Meat Co.,4.4,1756,2.0,34.009245,-118.414677,Wine Bar,Culver City,"3973 Sepulveda Blvd, Culver City, CA 90230, USA"
90232,Pasta Sisters,4.5,2108,2.0,34.02995,-118.38391,Food,Culver City,"3280 Helms Ave, Culver City, CA 90232, USA"
90232,Meet in Paris French Bistro,4.2,921,2.0,34.022013,-118.396433,Food,Culver City,"9727 Culver Blvd, Culver City, CA 90232, USA"
90232,Margot,4.1,666,,34.027363,-118.386984,Wine Bar,Culver City,"8820 Washington Blvd Suite 301, Culver City, CA 90232, USA"
90232,Merka Saltao,4.7,32,,34.02467,-118.394189,Food,Culver City,"3850 Main St Ste B, Culver City, CA 90232, USA"
90232,Simonette Restaurant,4.3,388,2.0,34.023077,-118.393361,Bar,Culver City,"3927 Van Buren Pl, Culver City, CA 90232, USA"
90232,Nardò Culver City,4.7,108,,34.022077,-118.39635,Catering Service,Culver City,"9725 Culver Blvd, Culver City, CA 90232, USA"
90232,"Hey, Sunshine Kitchen",4.9,721,2.0,34.016815,-118.406435,Sandwich Shop,Culver City,"3863 Overland Ave, Culver City, CA 90232, USA"
90230,Culver City Cuisine,4.5,143,,33.986838,-118.396295,Food Court,Culver City,"5660-5668 Selmaraine Dr, Culver City, CA 90230, USA"
90232,Butterfly,4.5,42,,34.028098,-118.387252,Bar,Culver City,"8801 Washington Blvd, Culver City, CA 90232, USA"
90232,AFURI Culver City,4.3,211,1.0,34.024386,-118.393404,Meal Takeaway,Culver City,"9300 Culver Blvd Unit 117, Culver City, CA 90232, USA"
90232,Carasau Ristorante,4.5,352,2.0,34.023488,-118.393474,Wine Bar,Culver City,"3912/3918 Van Buren Pl, Culver City, CA 90232, USA"
11188,Metro Cafe,4.6,1145,2.0,34.008889,-118.413333,Cafe,Culver City,"11188 Washington Pl, Culver City, CA 90232, USA"
90232,esme,4.8,125,,34.024604,-118.394745,Wine Bar,Culver City,"3837 Main St, Culver City, CA 90232, USA"
90266,JOEY Manhattan Beach,4.8,3643,2.0,33.898796,-118.395177,Bar,Manhattan Beach,"3120 N Sepulveda Blvd, Manhattan Beach, CA 90266, USA"
90266,Manhattan Beach Post,4.6,1437,2.0,33.885247,-118.410742,Wine Bar,Manhattan Beach,"1142 Manhattan Ave, Manhattan Beach, CA 90266, USA"
90266,The Strand House,4.5,2848,3.0,33.884774,-118.41137,Bar,Manhattan Beach,"117 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA"
90266,Nick's Manhattan Beach,4.6,1247,2.0,33.886049,-118.408868,Food,Manhattan Beach,"451 Manhattan Beach Blvd D, Manhattan Beach, CA 90266, USA"
90266,Simmzy's Restaurant Manhattan Beach,4.6,1016,2.0,33.885195,-118.410034,Pub,Manhattan Beach,"229 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA"
90266,BOA Steakhouse Manhattan Beach,4.7,479,4.0,33.89879,-118.395622,Steak House,Manhattan Beach,"3110 N Sepulveda Blvd, Manhattan Beach, CA 90266, USA"
90266,The Kettle,4.5,3969,2.0,33.885365,-118.409683,Diner,Manhattan Beach,"1138 Highland Ave, Manhattan Beach, CA 90266, USA"
90266,FISHBAR,4.6,2033,2.0,33.901731,-118.41832,Bar,Manhattan Beach,"3801 Highland Ave, Manhattan Beach, CA 90266, USA"
90266,Rock'N Fish,4.5,1795,2.0,33.884371,-118.411102,Steak House,Manhattan Beach,"120 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA"
90266,Tin Roof Bistro,4.6,1599,2.0,33.899779,-118.395543,Bar,Manhattan Beach,"3500 N Sepulveda Blvd, Manhattan Beach, CA 90266, USA"
90266,Love & Salt,4.5,626,3.0,33.885459,-118.409317,Food,Manhattan Beach,"317 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA"
90266,brewco social,4.3,418,2.0,33.884487,-118.411067,Bar,Manhattan Beach,"124 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA"
90266,Wood Ranch Manhattan Beach,4.5,90,2.0,33.901652,-118.386116,Food,Manhattan Beach,"1550 Rosecrans Ave, Manhattan Beach, CA 90266, USA"
90266,Fishing With Dynamite,4.7,1040,3.0,33.885354,-118.410917,Food,Manhattan Beach,"1148 Manhattan Ave, Manhattan Beach, CA 90266, USA"
90266,The Hook & Plow,4.1,48,,33.884462,-118.410267,Food,Manhattan Beach,"1112 Manhattan Ave, Manhattan Beach, CA 90266, USA"
90266,Sloopy's Beach Cafe,4.5,722,2.0,33.899579,-118.417046,Meal Takeaway,Manhattan Beach,"3416 Highland Ave, Manhattan Beach, CA 90266, USA"
90266,Urban Plates,4.8,1808,2.0,33.895682,-118.394442,Sandwich Shop,Manhattan Beach,"2650 N Sepulveda Blvd, Manhattan Beach, CA 90266, USA"
90266,Mercado Restaurant Manhattan Beach,4.4,363,2.0,33.89922,-118.394056,Food,Manhattan Beach,"3212A N Sepulveda Blvd, Manhattan Beach, CA 90266, USA"
90266,Shellback Tavern,4.5,763,1.0,33.884421,-118.411215,Bar,Manhattan Beach,"116 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA"
90266,Ocean View Cafe,4.5,412,2.0,33.886396,-118.410715,Cafe,Manhattan Beach,"229 13th St, Manhattan Beach, CA 90266, USA"
90277,Bluewater Grill,4.4,2556,2.0,33.848616,-118.396344,Bar,Redondo Beach,"665 N Harbor Dr, Redondo Beach, CA 90277, USA"
90277,Riviera House,4.4,240,,33.818197,-118.387928,Bar,Redondo Beach,"1708 S Catalina Ave, Redondo Beach, CA 90277, USA"
90277,Rockefeller - Redondo Beach,4.4,593,2.0,33.818388,-118.388446,Pub,Redondo Beach,"1707 S Catalina Ave, Redondo Beach, CA 90277, USA"
90277,Sea Level Restaurant and Lounge,4.4,719,2.0,33.847337,-118.394941,Food,Redondo Beach,"655 N Harbor Dr, Redondo Beach, CA 90277, USA"
